Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
Cns Pastries,"Bakery, Desserts",400," Rajarajeshwari Nagar, Bangalore",4,12.90292639,77.51917921
Eat Retreat,"North Indian, Chinese",500," Sarjapur Road, Bangalore",4,12.914046,77.666393
Madouk Cafe,"Healthy Food, Fast Food, Biryani, Beverages, Desserts, Lebanese",400," Brookefield, Bangalore",4,12.96613756,77.71449264
The Kim Chi Chef,"Chinese, Thai",700," Whitefield, Bangalore",4,13.00838964,77.75892913
The Golden Scoop,"Desserts, Beverages, Fast Food, Ice Cream",300," Malleshwaram, Bangalore",4,13.00833149,77.57147491
Royal Restaurant,"North Indian, Chinese",200," Shivajinagar, Bangalore",4,12.98576723,77.60515507
Rajanna Military Hotel,"Andhra, South Indian, Biryani",550," Jayanagar, Bangalore",4,12.91895396,77.59304088
Sri Durga Chats And Juice,"Fast Food, Street Food, Beverages",200," Vijay Nagar, Bangalore",4,12.97244658,77.53881633
King,"North Indian, Chinese",500," Electronic City, Bangalore",4,12.84918647,77.67402884
Ruchi Sagar,"South Indian, North Indian, Chinese, Juices",250," Electronic City, Bangalore",4,12.84753768,77.67137781
Mother's Meal,"North Indian, Chinese",300," CV Raman Nagar, Bangalore",4,12.98149785,77.66686767
The Flying Cup,"Fast Food, North Indian, Street Food, Beverages",400," Bellandur, Bangalore",4,12.922433,77.67218
Cafe Kiara,"Mexican, Italian, Beverages",550," Hesaraghatta, Bangalore",4,13.08370514,77.48505145
Momomia,"Momos, Rolls",350," Domlur, Bangalore",4,12.95810777,77.64151745
Rajhans,"North Indian, Chinese, Fast Food, Beverages",300," St. Marks Road, Bangalore",4,12.97095935,77.60077737
Rajhans,"North Indian, Chinese, Fast Food, Beverages",300," St. Marks Road, Bangalore",4,12.97095935,77.60077737
#L-81 Cafe,"North Indian, Chinese, Continental, Fast Food, Beverages, Sandwich",500," HSR, Bangalore",4,12.91390861,77.63106555
