index_right,restaurant_count,avg_pricing,avg_rating,categories
60.0,33.0,445.45454545454544,3.678787878787879,"Chinese, Fast Food, Fast Food, Continental, Italian, Beverages, South Indian, North Indian, Chinese, Beverages, Desserts, Fast Food, North Indian, Chinese, Seafood, Fast Food, Chinese, Burger, Pizza, Fast Food, Chinese, Steak, Pasta, Beverages, Desserts, Chinese, South Indian, Chinese, North Indian, Street Food, Fast Food, Beverages, North Indian, Seafood, Chinese, Mughlai, Beverages, Bakery, Desserts, Fast Food, Biryani, South Indian, South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages, Seafood, South Indian, North Indian, Mangalorean, Biryani, Desserts, Ice Cream, Beverages, Bakery, Fast Food, Desserts, Beverages, Sandwich, North Indian, Chinese, Seafood, Afghan, American, Italian, Mexican, Goan, Mangalorean, South Indian, North Indian, Salad, Fast Food, Continental, Beverages, Bakery, Fast Food, Street Food, Fast Food, Chinese, North Indian, South Indian, Chinese, Street Food, Beverages, Biryani, North Indian, Rolls, North Indian, Biryani, North Indian, Kebab, Afghan, Chinese, Tamil, South Indian, Biryani, North Indian, Chinese, Mithai, Street Food, North Indian, Chinese, South Indian, Seafood, Thai, Mughlai, Biryani, Beverages, Chinese, North Indian, Mughlai, Kebab, Seafood"
61.0,30.0,393.3333333333333,3.6333333333333333,"Desserts, Beverages, Fast Food, North Indian, Chinese, Hyderabadi, Mughlai, Biryani, Fast Food, Beverages, Desserts, North Indian, Chinese, Mangalorean, Seafood, Chinese, North Indian, Andhra, Mughlai, Arabian, Pizza, Fast Food, Sandwich, Burger, Beverages, North Indian, Chinese, Andhra, Finger Food, Fast Food, Sandwich, Ice Cream, Beverages, South Indian, Andhra, Biryani, Mughlai, North Indian, South Indian, Biryani, Chinese, Rolls, Chinese, Momos, Fast Food, Andhra, South Indian, Chinese, Fast Food, Chinese, North Indian, Mughlai, Biryani, South Indian, Chinese, Fast Food, Chinese, North Indian, Continental, Seafood, Chinese, North Indian, Biryani, Mughlai, Kebab, Chinese, North Indian, South Indian, Mangalorean, Mughlai, Chinese, North Indian, Biryani, South Indian, South Indian, Biryani, Fast Food, Beverages, Arabian, Chinese, North Indian, Mangalorean, Lebanese, Mughlai, Biryani, Beverages"
62.0,4.0,525.0,3.85,"Biryani, South Indian, South Indian, North Indian, Fast Food, Chinese, Street Food, Desserts, Beverages, North Indian, Continental, Chinese, Fast Food, South Indian, North Indian, Chinese, Street Food, Desserts, Beverages"
63.0,4.0,425.0,3.425,"Biryani, South Indian, South Indian, North Indian, Biryani, Chinese, Seafood, South Indian, Chinese, Mughlai, Beverages"
64.0,10.0,450.0,3.55,"Andhra, Chinese, North Indian, Burger, Fast Food, Pizza, Sandwich, Pizza, Fast Food, Andhra, North Indian, Kebab, Chinese, Fast Food, Seafood, Desserts, Beverages, North Indian, Chinese, Lebanese, Fast Food, Italian, Fast Food, Burger, Sandwich, Chettinad, Chinese, North Indian, Chinese, Biryani, South Indian, Beverages, South Indian, North Indian, Chinese, Beverages"
65.0,15.0,400.0,3.7333333333333334,"Biryani, Andhra, North Indian, Mughlai, North Indian, Chinese, Seafood, Biryani, North Indian, Chinese, Arabian, Fast Food, Beverages, South Indian, North Indian, Chinese, Street Food, Beverages, Juices, Ice Cream, North Indian, Chinese, Street Food, South Indian, North Indian, Chinese, Beverages, Ice Cream, North Indian, Seafood, North Indian, Chinese, Kerala, North Indian, Fast Food, Fast Food, Burger, Pizza, Street Food, Beverages, Bakery, South Indian, Chinese, North Indian, Street Food, Juices, Beverages, North Indian, Chinese, Mughlai"
66.0,12.0,329.1666666666667,3.6166666666666667,"South Indian, North Indian, Chinese, Street Food, North Indian, Chinese, Kebab, South Indian, South Indian, Chinese, North Indian, Fast Food, Mughlai, Chinese, North Indian, Mughlai, North Indian, Chinese, Mughlai, North Indian, Chinese, North Indian, Chinese, Biryani, Chettinad, South Indian, Burger, Biryani, Mughlai, North Indian, South Indian, North Indian, Beverages, Ice Cream, Street Food, Chinese"
67.0,5.0,330.0,3.6399999999999997,"Rolls, North Indian, Chinese, Biryani, South Indian, Street Food, Chinese, Chinese, Kerala, North Indian, Chinese, Rolls, Mughlai, Street Food, Sandwich, Chinese"
68.0,2.0,600.0,3.7,"North Indian, Chinese, Continental, Beverages, Desserts, South Indian"
69.0,1.0,650.0,3.3,"North Indian, Chinese, Mughlai, Beverages"
70.0,0.0,,,
71.0,0.0,,,
72.0,0.0,,,
73.0,4.0,850.0,4.025,"Chinese, North Indian, Fast Food, Desserts, BBQ, Beverages, North Indian, Chinese, Beverages, North Indian, Chinese, South Indian, Chinese, Fast Food, Street Food, Beverages"
74.0,11.0,395.45454545454544,3.727272727272727,"Chinese, Biryani, South Indian, South Indian, North Indian, Biryani, Beverages, South Indian, North Indian, Chinese, Mughlai, Seafood, Street Food, Beverages, Desserts, Chinese, North Indian, Seafood, Fast Food, Mughlai, South Indian, Bakery, Desserts, Pizza, Desserts, Beverages, Fast Food, Biryani, South Indian, Fast Food, Beverages, Street Food, Burger, Sandwich"
75.0,0.0,,,
76.0,9.0,355.55555555555554,3.6333333333333337,"North Indian, Chinese, South Indian, Desserts, Fast Food, Beverages, Juices, Street Food, North Indian, Chinese, Mangalorean, North Indian, South Indian, Chinese, Biryani, North Indian, Chinese, Mangalorean, Kebab, Seafood, South Indian, Biryani, Andhra, Chinese, North Indian, Chinese, Street Food, Beverages, Chinese, Street Food, North Indian, Fast Food, Desserts, Beverages, Biryani, Kebab"
77.0,34.0,291.1764705882353,3.679411764705882,"South Indian, South Indian, North Indian, Chinese, Street Food, Ice Cream, Beverages, South Indian, North Indian, Chinese, South Indian, North Indian, Chinese, Beverages, Street Food, South Indian, Biryani, Desserts, Ice Cream, Beverages, North Indian, Tea, Biryani, South Indian, South Indian, Beverages, Continental, Fast Food, Beverages, North Indian, Street Food, Chinese, Fast Food, Burger, Chinese, Beverages, South Indian, Beverages, Chinese, South Indian, Chinese, Beverages, Rolls, Chinese, North Indian, Chinese, Chinese, Thai, Beverages, Chinese, Fast Food, Burger, Sandwich, Fast Food, Beverages, Street Food, Fast Food, Rolls, North Indian, Chinese, South Indian, Chinese, Biryani, North Indian, South Indian, Chinese, Biryani, South Indian, Chinese"
78.0,10.0,405.0,3.5,"Desserts, Ice Cream, Juices, Beverages, Andhra, North Indian, South Indian, Chinese, North Indian, Bakery, Fast Food, Biryani, North Indian, Biryani, South Indian, North Indian, Chinese, Oriental, Desserts, South Indian, North Indian, Chinese, Seafood, Bakery, Fast Food, Desserts"
79.0,52.0,379.8076923076923,3.7096153846153848,"Andhra, North Indian, Chinese, Mughlai, North Indian, Chinese, South Indian, Rolls, Biryani, Fast Food, Street Food, Beverages, Biryani, South Indian, Fast Food, Street Food, Beverages, Sandwich, Juices, North Indian, South Indian, Chinese, Street Food, Beverages, Biryani, Desserts, Ice Cream, Seafood, South Indian, Chinese, Bengali, South Indian, North Indian, Chinese, North Indian, Mughlai, Chinese, Rolls, Desserts, Ice Cream, Beverages, Ice Cream, Desserts, Beverages, Fast Food, Fast Food, Beverages, Andhra, North Indian, Andhra, Chinese, Biryani, North Indian, Chinese, Continental, Desserts, Andhra, North Indian, Chinese, Beverages, Mangalorean, South Indian, North Indian, Chinese, North Indian, South Indian, Beverages, South Indian, Chinese, North Indian, Beverages, South Indian, Chinese, North Indian, Desserts, Ice Cream, Fast Food, BBQ, South Indian, Chinese, Ice Cream, South Indian, South Indian, Chinese, Street Food, Desserts, Beverages, Street Food, Fast Food, Sandwich, Burger, Beverages, South Indian, Biryani, Biryani, Andhra, South Indian, Chinese, Street Food, Street Food, Beverages, Italian, Fast Food, Pizza, Sandwich, Burger, Desserts, Beverages, South Indian, North Indian, Chinese, Street Food, Beverages, Fast Food, Rolls, Sandwich, Burger, Pizza, Desserts, Beverages, Andhra, North Indian, Chinese, Chettinad, Seafood, South Indian, North Indian, Mithai, Chinese, Biryani, South Indian, Chinese, North Indian, Street Food, Fast Food, Ice Cream, Beverages, North Indian, Mangalorean, North Indian, South Indian, Street Food, Chinese, South Indian, Fast Food, North Indian, Biryani, Chinese, Hyderabadi, Thai, Continental, Fast Food, Seafood, Chinese, North Indian, Rolls, Biryani, Desserts, North Indian, Mughlai, Kebab, South Indian, Bengali, Kerala, North Indian, Chinese"
